date,account_value,account_value,account_value
2017/1/5,1106407.58,1086178.926,1375386.48
2017/1/6,1103749.158,1086160.798,1373466.684
2017/1/9,1106239.494,1087944.797,1379608.665
2017/1/10,1102202.647,1082402.469,1357967.642
2017/1/11,1103986.425,1081353.69,1339961.106
2017/1/12,1101665.392,1081251.008,1335498.039
2017/1/13,1109171.554,1085018.606,1332796.063
2017/1/17,1105774.377,1082950.793,1331535.133
2017/1/18,1099888.355,1084002.401,1340136.934
2017/1/19,1108016.379,1088674.672,1353173.277
2017/1/20,1108424.212,1088274.455,1364772.02
2017/1/23,1110998.429,1097003.27,1360441.013
2017/1/24,1106661.927,1095690.786,1348399.381
2017/1/25,1107642.694,1092168.529,1337717.634
2017/1/26,1109733.439,1091799.74,1342376.598
2017/1/27,1112320.24,1087853.697,1335401.464
2017/1/30,1132081.219,1094122.545,1357117.514
2017/1/31,1131413.778,1097685.502,1366609.007
2017/2/1,1133630.828,1099873.837,1365208.158
2017/2/2,1133443.232,1098480.18,1356626.168
2017/2/3,1138407.581,1103504.518,1365532.985
2017/2/6,1140945.033,1108055.074,1373229.797
2017/2/7,1141985.478,1115855.353,1384782.779
2017/2/8,1143946.649,1119350.917,1392071.637
2017/2/9,1152001.735,1122314.544,1403087.023
2017/2/10,1153110.012,1123980.721,1404326.042
2017/2/13,1154699.424,1118991.048,1391626.556
2017/2/14,1164664.843,1124447.469,1405711.419
2017/2/15,1166687.421,1123338.313,1408999.491
2017/2/16,1172229.224,1128159.472,1411690.776
2017/2/17,1171368.032,1128000.292,1407394.372
2017/2/21,1171860.035,1129502.398,1415635.117
2017/2/22,1171301.169,1130851.633,1418549.838
2017/2/23,1183786.801,1141491.706,1440114.004
2017/2/24,1184061.221,1141638.083,1439253.2
2017/2/27,1181967.197,1138027.178,1437066.203
2017/2/28,1181255.013,1138264.169,1434296.932
2017/3/1,1179984.687,1139326.724,1435528.936
2017/3/2,1178223.88,1141093.199,1434353.932
2017/3/3,1178140.72,1142314.429,1433368.695
2017/3/6,1183173.713,1145813.611,1432166.919
2017/3/7,1179311.665,1143599.361,1432002.351
2017/3/8,1176978.733,1133484.671,1426797.494
2017/3/9,1182817.865,1141991.733,1432958.437
2017/3/10,1181385,1142311.6,1436457.3
2017/3/13,1165635.236,1143135.873,1430940.159
2017/3/14,1164707.953,1140897.912,1421826.023
2017/3/15,1159486.057,1137443.236,1407140.504
2017/3/16,1150382.563,1130128.517,1389915.632
2017/3/17,1150553.614,1131179.395,1389755.777
2017/3/20,1147285.527,1129201.31,1384920.931
2017/3/21,1141048.221,1121059.896,1366346.786
2017/3/22,1143996.401,1126273.553,1376592.396
2017/3/23,1146713.215,1129388.769,1377470.438
2017/3/24,1145998.629,1132413.506,1383905.058
2017/3/27,1146725.432,1131783.368,1381493.001
2017/3/28,1144469.664,1127957.832,1378876.703
2017/3/29,1152789.229,1131558.934,1388056.016
2017/3/30,1148004.537,1127690.013,1379855.976
2017/3/31,1145895.031,1127336.081,1380333.604
2017/4/3,1145181.535,1129694.138,1384579.034
2017/4/4,1138825.233,1124041.689,1378030.128
2017/4/5,1140711.932,1124031.144,1377683.553
2017/4/6,1140330.322,1120817.131,1373311.038
2017/4/7,1139515.505,1120404.314,1377706.257
2017/4/10,1138995.549,1124298.804,1380352.802
2017/4/11,1140471.106,1125043.153,1383647.594
2017/4/12,1138938.581,1128738.293,1387104.616
2017/4/13,1136429.623,1146356.277,1394843.989
2017/4/17,1139117.508,1163122.228,1408588.463
2017/4/18,1144116.126,1169142.666,1421722.391
2017/4/19,1145780.059,1170513.739,1423353.391
2017/4/20,1145351.553,1170793.35,1424093.968
2017/4/21,1143013.97,1184328.921,1423762.407
2017/4/24,1146383.455,1179855.607,1422796.13
2017/4/25,1146561.956,1180524.662,1415400.006
2017/4/26,1147774.252,1178131.196,1416046.151
2017/4/27,1150560.802,1179493.986,1417469.478
2017/4/28,1150901.13,1181046.369,1422138.836
2017/5/1,1154789.299,1181447.282,1425159.51
2017/5/2,1155019.066,1183030.277,1424844.888
2017/5/3,1150309.124,1183399.054,1410242.95
2017/5/4,1150610.424,1181952.958,1411481.552
2017/5/5,1152011.969,1179173.199,1409875.598
2017/5/8,1153323.584,1176571.29,1406123.834
2017/5/9,1153178.081,1179190.649,1397071.156
2017/5/10,1141703.675,1170427.611,1384985
2017/5/11,1133439.029,1168084.392,1382507.215
2017/5/12,1138139.139,1174661.798,1391523.208
2017/5/15,1133586.75,1180465.188,1410616.13
2017/5/16,1138374.768,1184399.386,1413939.067
2017/5/17,1141547.144,1188428.584,1419913.664
2017/5/18,1150221.285,1197096.176,1433806.228
2017/5/19,1151276.984,1201801.365,1437169.863
2017/5/22,1151094.651,1199177.074,1433080.13
2017/5/23,1153931.024,1201217.453,1429541.964
2017/5/24,1153018.309,1201471.434,1432515.116
2017/5/25,1160095.176,1210997.215,1449303.501
2017/5/26,1161713.25,1215572.759,1452089.412
2017/5/30,1161124.097,1212623.328,1446119.722
2017/5/31,1159236.149,1211819.446,1452995.579
2017/6/1,1155354.676,1208723.679,1461208.187
2017/6/2,1145878.345,1204201.353,1459529.054
2017/6/5,1138600.748,1197384.513,1446078.834
2017/6/6,1143285.933,1203512.12,1454325.841
2017/6/7,1141159.036,1206290.344,1466231.343
2017/6/8,1132283.51,1201031.94,1468366.27
2017/6/9,1132972.844,1204611.997,1474850.869
2017/6/12,1139291.906,1212637.521,1481729.322
2017/6/13,1145724.903,1213427.361,1490042.451
2017/6/14,1149571.952,1213931.393,1490857.701
2017/6/15,1160499.506,1216325.098,1506329.404
2017/6/16,1160853.035,1216536.695,1501055.28
2017/6/19,1166403.218,1220465.807,1503332.471
2017/6/20,1158650.909,1211552.528,1500227.144
2017/6/21,1154774.776,1210348.667,1501842.91
2017/6/22,1145022.536,1200155.548,1493337.649
2017/6/23,1148042.231,1203035.484,1496305.973
2017/6/26,1146098.166,1205529.378,1501861.415
2017/6/27,1139485.72,1200696.329,1512229.072
2017/6/28,1139939.039,1205244.344,1516675.555
2017/6/29,1142400.65,1208979.071,1516240.539
2017/6/30,1140910.856,1207136.252,1518417.705
2017/7/3,1150108.892,1214090.204,1527330.75
2017/7/5,1151370.416,1217013.237,1521389.872
2017/7/6,1154835.478,1223886.881,1524391.898
2017/7/7,1155229.177,1225484.253,1530910.3
2017/7/10,1148231.059,1221344.899,1523908.084
2017/7/11,1153222.344,1229865.566,1542715.017
2017/7/12,1162254.036,1231607.803,1554465.295
2017/7/13,1161677.248,1230878.986,1561757.873
2017/7/14,1157639.241,1237142.082,1562871.621
2017/7/17,1161526.08,1238860.61,1565524.065
2017/7/18,1159478.796,1239996.19,1600423.011
2017/7/19,1168963.006,1239532.862,1624084.564
2017/7/20,1170654.74,1234038.647,1625885.372
2017/7/21,1174381.702,1236802.354,1648054.884
2017/7/24,1181237.932,1234558.104,1645462.678
2017/7/25,1173775.027,1237156.233,1643017.615
2017/7/26,1173472.961,1241966.587,1644438.325
2017/7/27,1177507.496,1248063.369,1651608.811
2017/7/28,1174780.266,1244006.003,1651595.408
2017/7/31,1171865.618,1242567.815,1651997.146
2017/8/1,1169314.315,1240458.712,1644803.698
2017/8/2,1160404.997,1232590.684,1631788.767
2017/8/3,1157291.642,1230850.654,1630428.903
2017/8/4,1170510.613,1240931.53,1640058.96
2017/8/7,1174016.541,1241937.821,1645879.32
2017/8/8,1178788.951,1242290.933,1646121.058
2017/8/9,1173155.793,1234157.875,1636702.618
2017/8/10,1156150.866,1220434.642,1626912.434
2017/8/11,1156986.246,1218466.608,1624461.545
2017/8/14,1169764.427,1230335.947,1638767.99
2017/8/15,1172722.135,1231443.287,1643681.174
2017/8/16,1177062.513,1230813.766,1645042.288
2017/8/17,1185244.432,1237038.498,1645317.046
2017/8/18,1182260.753,1236135.726,1643434.798
2017/8/21,1176920.854,1233600.277,1652489.079
2017/8/22,1182468.771,1241651.207,1658423.986
2017/8/23,1189228.33,1248889.111,1667501.7
2017/8/24,1195251.64,1249697.334,1676858.067
2017/8/25,1192769.699,1239778.534,1672718.754
2017/8/28,1192842.277,1240215.433,1663970.063
2017/8/29,1195637.57,1242402.439,1659688.401
2017/8/30,1193908.638,1245096.861,1662029.17
2017/8/31,1204408.865,1258688.131,1679156.309
2017/9/1,1209839.807,1258724.717,1671726.232
2017/9/5,1206148.728,1256224.032,1677406.742
2017/9/6,1203977.629,1251757.556,1678941.875
2017/9/7,1207512.414,1258889.371,1692821.848
2017/9/8,1210778.798,1260590.997,1699792.917
2017/9/11,1212065.065,1255962.926,1690993.452
2017/9/12,1209072.082,1256598.069,1690553.778
2017/9/13,1208267.657,1264098.013,1696639.252
2017/9/14,1208026.878,1266626.719,1683556.529
2017/9/15,1202163.175,1263295.674,1683071.925
2017/9/18,1198881.891,1260730.317,1683055.582
2017/9/19,1193096.053,1256773.03,1688964.976
2017/9/20,1192457.231,1255675.334,1689196.554
2017/9/21,1190363.29,1259070.608,1691984.759
2017/9/22,1197659.323,1270923.849,1704471.224
2017/9/25,1203328.571,1271879.544,1720107.355
2017/9/26,1205017.88,1280135.957,1716386.205
2017/9/27,1208315.786,1281741.649,1721786.411
2017/9/28,1208296.939,1289035.576,1713223.52
2017/9/29,1206232.318,1278402.598,1704885.265
2017/10/2,1201144.08,1281245.31,1705873.477
2017/10/3,1202369.891,1282672.863,1704087.394
2017/10/4,1204560.782,1289673.175,1680565.879
2017/10/5,1203891.288,1287431.915,1694072.735
2017/10/6,1200074.048,1285576.556,1737518.345
