,0,0,0
81,1069383.04,1070424.218,1064249.943
82,1068000.726,1066963.765,1061398.693
83,1060583.953,1060686.373,1049032.636
84,1044066.457,1044339.462,1038185.816
85,992121.0182,993046.5212,992060.0649
86,989733.9662,991756.7108,989288.3183
87,1036534.479,1034151.842,1029097.994
88,1041151.325,1035791.857,1033860.11
89,1052392.848,1045110.079,1041904.612
90,1047488.248,1044081.692,1037777.094
91,1010893.675,1011805.819,1014073.702
92,1001287.914,1003830.67,1008293.868
93,1000614.273,1001019.721,1009991.042
94,979749.6577,981447.9915,992369.2159
95,957602.4716,961106.4019,967241.6246
96,946129.4088,948989.1947,950086.0674
97,965232.0147,961064.6069,958203.1493
98,943748.7246,943081.8046,940577.7444
99,963753.7658,963120.0658,955207.8955
100,973367.1462,972292.6626,962796.3988
101,972871.5757,971555.372,963135.6452
102,967914.937,968852.5658,961463.3297
103,969487.3016,965685.7311,962569.7604
104,993741.3767,980625.3516,978350.5924
105,977509.4703,960377.6021,964539.7155
106,960933.2544,946855.5052,948179.9575
107,946591.9391,935111.5304,937548.8873
108,959753.8985,946318.8967,945040.5033
109,966435.9188,956574.5961,946112.352
110,976221.286,963098.4139,952456.3887
111,987769.1304,972837.1622,965333.0139
112,991665.724,977544.3104,972952.0789
113,998750.4984,985147.2875,981238.7284
114,1005036.622,988899.9747,981243.263
115,1008982.262,991029.466,984338.5866
116,1011550.052,992260.5465,984009.657
117,997314.7827,982384.3059,972768.3032
118,981344.5383,966249.4711,957715.3409
119,969218.1592,952814.802,944358.7558
120,958483.8593,947035.3337,933778.7831
121,961372.7732,946193.5743,932397.2556
122,929556.8045,916842.1168,906689.6593
123,919608.1381,906328.1798,897716.6231
124,910076.408,894880.3938,882563.5272
125,917217.5124,899679.1269,886564.5572
126,924359.5368,905167.374,898826.6861
127,936339.1385,913172.6877,909918.8263
128,956886.8083,931152.0899,927437.2925
129,960267.7253,935257.5829,929291.5395
130,964882.6793,940558.6706,936729.3232
131,976875.2198,947077.5123,949978.4604
132,986514.7651,946314.323,955622.1402
133,983558.8101,942781.0726,954954.2485
134,970268.8101,932959.7431,951002.0112
135,959041.7097,921912.3431,944598.2059
136,954544.485,921706.6905,943840.0311
137,969054.3467,934632.1496,952096.7221
138,980865.519,944566.4658,960809.5221
139,990182.2598,947791.7273,960317.6312
140,1004360.617,960544.2034,969514.4816
141,1007213.009,968344.411,975083.494
142,1004190.714,963139.5649,969798.5248
143,1005802.266,954428.4766,972890.6104
144,987957.5278,944789.3366,954794.2143
145,1007491.436,960534.9398,974315.3025
146,1013014.68,969754.3217,988271.133
147,1018631.444,971194.7686,993127.6101
148,1016533.426,966010.1216,990199.3424
149,1008626.551,959849.5341,987212.5979
150,1026387.38,973034.8851,998342.4498
151,1017408.958,967576.1247,988135.8599
152,992272.0208,950036.2412,966891.3473
153,962080.79,940999.8662,943045.9993
154,964372.0267,940417.8399,943893.4848
155,962499.0275,937318.1851,942126.505
156,980926.7586,952721.7825,958217.9066
157,980614.1489,952226.5477,959133.3214
158,971679.7619,942021.5688,947970.2502
159,995026.0605,940099.1137,942337.4408
160,1000928.06,945164.3232,944218.4613
161,985212.8716,930078.9165,925209.2454
162,982985.4192,931271.9393,924045.003
163,986070.3249,935935.6476,928907.3357
164,974326.7772,931429.8342,920909.4549
165,978302.1279,934409.8374,923350.4754
166,965694.9934,924981.4478,912651.4722
167,989822.9881,942399.1475,926936.313
168,1004495.165,953911.7905,933033.2218
169,1022921.586,971431.7602,950526.6629
170,1018797.853,966151.1453,948041.9932
171,1018077.541,963115.6541,946089.9988
172,1018988.411,965879.5674,955408.7198
173,1011461.803,965316.138,953069.5258
174,1022928.805,974166.476,973688.6598
175,1029188.313,979438.9545,980368.9979
176,1030533.6,984688.8237,980999.3536
177,1034726.405,988206.5254,983735.3348
178,1039248.692,991331.3194,988593.9297
179,1051586.977,998941.6324,991498.4118
180,1056224.275,1005759.661,995676.553
181,1049006.54,1000537.096,991066.2174
182,1045079.763,999257.1487,990863.7794
183,1063596.445,1014265.794,1001812.387
184,1057982.889,1014811.166,1001701.199
185,1047458.157,1010231.962,993628.464
186,1043688.415,1013035.948,993452.0544
187,1047724.644,1014571.304,996518.7128
188,1041028.934,1009524.217,994638.5403
189,1030708.896,997967.835,978627.0162
190,1045122.388,1008654.06,986557.6759
191,1029559.488,1010855.883,990808.981
192,1027391.647,1012575.337,993831.958
193,1030427.043,1014505.924,995434.6635
194,1029561.245,1016847.645,1000673.284
195,1029925.036,1016390.517,1002958.708
196,1054429.481,1031404.917,1020134.389
197,1051163.369,1031689.115,1020915.535
198,1059860.872,1038794.296,1028424.133
199,1059682.981,1043290.066,1034065.592
200,1039668.786,1030030.188,1016255.578
201,1048958.614,1035183.04,1027048.368
202,1058964.246,1044775.877,1033373.782
203,1060230.287,1042566.162,1035258.579
204,1080354.687,1048606.699,1044200.413
205,1075267.128,1044489.076,1041175.148
206,1076365.175,1042869.66,1034907.395
207,1077266.275,1042515.28,1038007.008
208,1078259.434,1046459.572,1043123.448
209,1079216.582,1051177.036,1047470.725
210,1082234.087,1056971.558,1053930.841
211,1087557.607,1058470.766,1056288.662
212,1103289.113,1066463.366,1063379.024
213,1096784.275,1061820.636,1060965.841
214,1100208.577,1062307.094,1069956.847
215,1096909.309,1053914.037,1062453.915
